OW_events;label
[57];0
[ 31  35 125  37  31];1
[31 33 57 60];0
[30];0
[66];0
[57 60];0
[57 60];0
[60 57 60];0
[40 43];0
[57 60];0
[66];0
[57 60];0
[];0
[];0
[69];0
[57 60];0
[];0
[57 60 57 60];0
[57];0
[ 30 122];0
[57 60];0
[ 57  36  60 122];1
[57 60 57];0
[ 31 121  35];1
[];0
[60 57 60];0
[118];0
[30];0
[27];1
[38 35 37 57 30 60];1
[36 57 60];1
[35 38 35];1
[];0
[31 35 38 34];0
[57 60];0
[35 38];1
[];1
[57 60];0
[30];0
[57 60];0
[38 35 38 43 40];1
[28 35 36];1
[60 57 60 57 60];0
[64 61 64];0
[];0
[57];0
[38 57 60];1
[];0
[60 57];0
[61 64 61];0
[57];0
[57 60];0
[66];0
[31];0
[60];0
[57 60];0
[57 60];0
[];1
[40 43];0
[57 60];0
[ 31 125  35  38  35];1
[66];0
[118 121 118];0
[60 57 60];0
[57 60];0
[38 35];1
[61 64 61];0
[57 60];0
[ 66  35 113];1
[];1
[];1
[43 40 43];0
[ 61  64  47 118];0
[57 60 57 60];0
[ 31  34 122 125  31];1
[60 57 60];0
[];0
[60];0
[38 35];1
[57 60];0
[57 60];0
[32 38 35];1
[60];0
[57 60];0
[60 57 60];0
[60];0
[57];0
[57 60];0
[43];0
[35];0
[43 40];0
[57 60];0
[31];0
[35 38];1
[57 60];0
[57 60];0
[];1
[60 57 60 57];0
[118];1
[ 34 122 125 122  30];0
[57 60];0
[27];1
[40];0
[57 60];0
[38 35];1
[57 60 38];1
[34 30 28 35];0
[69];0
[61 64];0
[ 57  60 122];0
[60];0
[57];0
[57 60 57 60];0
[];0
[18 21];0
[57 60];0
[69];0
[60];0
[57 60];0
[66];0
[40];0
[40 43];0
[57 60];0
[61 64];0
[118];0
[57];0
[57 60];0
[60];0
[61];0
[66];0
[];0
[];1
[57 60];0
[57 60 57 60];0
[];0
[];0
[57 60];0
[57 60];0
[38];1
[];0
[43 40];0
[43];0
[34 31];0
[];0
[57 60];0
[43 40];0
[69 64 66];0
[34];1
[];1
[35];1
[];0
[27 30];0
[66 64 35 38 61];1
[];0
[];0
[18];0
[60];0
[35 38 34];0
[57 60];0
[60];0
[];0
[];1
[207 204];0
[30 28 33 29];1
[];0
[30];0
[38];0
[];0
[57 60];0
[31];0
[43 40];0
[34];0
[60 27];0
[57 60];0
[38];1
[38 35 38];1
[57 60];0
[57 60 57];0
[60];1
[57 60 57];0
[57 60];0
[60];0
[43 40 43];0
[57 60];0
[43];0
[60];0
[60];0
[27 30];0
[40 43];0
[40];0
[ 27 125  31  35  38];1
[60];0
[60 57];0
[60];0
[];0
[57 60];0
[122];0
[35 38];1
[57 60];0
[57 60];0
[57 60];0
[];1
[31];1
[57 60 57 60];0
[36];1
[57 60 57 60];0
[ 30  29 125  38  33 122];0
[125];0
[57 60 57];0
[57 60 57];0
[35];0
[];1
[57 60];0
[57];0
[60 57 60];0
[60 57 60];0
[];0
[57 60];0
[34 31];1
[ 30 122  27 125  30 122];1
[35 38 34 57 31 60 35 57];1
[35];0
[118 121 118 121];0
[57 60];0
[121];0
[57 60];0
[60 31];1
[31];0
[57 60];1
[30];0
[27];0
[38 35];1
[];1
[35 38 35];1
[35 57 60];1
[];0
[31 40 43];1
[57 60];0
[44 61 64 61];0
[34 31 34];0
[57 60];0
[43 40];0
[38 35];1
[31];0
[118];0
[27];1
[57];0
[34 31 35 57 38 60 35 57];0
[];0
[40];0
[57 60];0
[60];0
[47 44];0
[60 34 31];0
[43];0
[38 35 38 35 38];1
[57 60];0
[57 60];0
[64 47 44 61];0
[121];0
[121 118];0
[57 60 57 60];0
[64];0
[];1
[57 60];0
[34 31];1
[57 60];0
[60 57 60];0
[57 60];0
[ 43 118];0
[66 69];0
[];0
[31 35];0
[57 60 57];0
[34];0
[35 57 38 60];0
[57 60 57 60];0
[43];0
[57 60];0
[57 60 57 60];0
[];1
[35 37 31];1
[40 43 40 43 40];0
[35 38];1
[47 44 61 64 61];0
[];1
[57 60];0
[57 60];0
[57 60];0
[];0
[57];0
[];0
[35];0
[60];0
[];0
[60];0
[57 60];0
[ 36 122];1
[38 35 38 35 38];1
[60 57 60 38];1
[27];0
[57 60 57 60];0
[27 31 34];1
[30];0
[ 38 122  35 125  38];1
[];1
[];0
[35];1
[27 69];0
[57 60];0
[57 60];0
[];0
[];0
[37 30 28 35];1
[];0
[57 60 57 60];0
[57];0
[35];1
[57 60];0
[125];0
[57 60];0
[57 60];0
[];1
[57 60];0
[27];0
[ 27 125];0
[35 38];1
[];0
[28 33 27];1
[40];0
[38 35];1
[];0
[];0
[37 57 32 36 60 57 60];0
[57];0
[57 60 57];0
[];1
[122];0
[60 57 60];0
[];0
[220 217];0
[57 60];0
[125  27  69  31];1
[34 32 37];0
[57 60];1
[38];1
[69];0
[];1
[38];1
[69];0
[];0
[38 35 38];0
[60];0
[57 60];0
[38 35];1
[];0
[57 60];0
[57 60];0
[];0
[];0
[60];0
[40];0
[57 60];0
[];1
[60 38 34 30];1
[57];0
[57 60];0
[118  43  40  43 121  40];0
[57 60];0
[38];1
[43 40];0
[220  57  60 217 220];0
[31 35];1
[];1
[];0
[35];1
[57];0
[38 35 38];1
[57 60];0
[];1
[57];0
[57 60];0
[57];0
[217   8  17   5  14 220 217];0
[31];1
[220 217  57 220  60];0
[35 38];1
[38 33];1
[40];0
[38];0
[57 60];0
[38 35];0
[57 60];0
[60 57 60];0
[57 60 57 60];0
[57 60];0
[];0
[35 38];1
[35 38 35 57];1
[31];0
[ 64  61 220];0
[57 60];0
[57 60 57 60];0
[43 40];0
[43];0
[43 40];0
[66 69];0
[43 40];0
[60 57 60];0
[113  69];1
[43 40];0
[];1
[38 35 38];1
[34 57 60 57];0
[ 32 125  37  30 122  28  34 125];1
[100  27  31];1
[57 60];0
[60 57 60];0
[];1
[57 60];0
[];0
[57 60];0
[121  43];0
[57 60];0
[57 60];0
[118];0
[38 57];1
[57 60 57 60];0
[57 60 57];0
[60 57];0
[35 38 35];0
[66 44];0
[];0
[69];0
[35];0
[57 60];0
[27 30 27];0
[31 35 69 38];0
[57 60];0
[118 121];0
[];0
[43];0
[66 69 38];1
[30 57 27 60 57 30];0
[30];0
[40 43];0
[27];0
[30 27 31 35];1
[33 28 33 27 31];1
[36 28];1
[38];1
[57 60];0
[];0
[43 40];0
[28 35];1
[57 60];0
[66];0
[122  28 125  33 122];0
[31 34 31];0
[40];0
[57 60];0
[57];0
[57 60];0
[];0
[31 35 38];0
[57 60];0
[38 35 38 66];1
[57 60];1
[57];0
[];0
[57 60];0
[34 31 35 38];1
[38 57];1
[40];0
[];0
[38 60 35];1
[60 57];0
[];0
[121];0
[31 35 38 34];1
[118];0
[121];0
[122];0
[27 31 66 69 64];0
[];0
[ 57  60  57 217  60 220];0
