5649035,4,-1,5649034,0,0,0
5649136,5,-1,5649034,240512,240468,0
5649220,6,-1,5649034,1,0,0
5649332,7,-1,5649034,240512,240468,0
5649430,8,-1,5649034,0,0,0
5649498,2,0,5649,0,0,0
5649560,9,-1,5649034,0,1,0
5649628,12,-1,5649034,0,0,0
5749035,4,-1,5749034,0,0,0
5749147,5,-1,5749034,240512,240468,0
5749230,6,-1,5749034,1,0,0
5749342,7,-1,5749034,240512,240468,0
5749441,8,-1,5749034,0,0,0
5749508,2,0,5749,0,0,0
5749571,9,-1,5749034,0,1,0
5749638,12,-1,5749034,0,0,0
5749756,15,0,5149034,0,0,0
5749901,18,0,5149034,0,0,0
5753539,19,0,5149034,0,0,0
5754105,24,0,5149034,0,0,0
5754178,1,0,5149034,84696351,0,0
5754259,21,0,5149034,240512,240468,0
5754344,25,0,5149034,240512,240468,0
5754425,14,-1,5149034,0,0,0
5849035,4,-1,5849034,0,0,0
5849136,5,-1,5849034,240572,240468,0
5849232,6,-1,5849034,1,0,0
5849348,7,-1,5849034,240572,240468,0
5849453,8,-1,5849034,0,0,0
5849520,2,0,5849,0,0,0
5849583,9,-1,5849034,0,1,0
5849650,12,-1,5849034,0,0,0
5949035,4,-1,5949034,0,0,0
5949136,5,-1,5949034,240572,240468,0
5949220,6,-1,5949034,1,0,0
5949331,7,-1,5949034,240572,240468,0
5949428,8,-1,5949034,0,0,0
5949496,2,0,5949,0,0,0
5949558,9,-1,5949034,0,1,0
5949625,12,-1,5949034,0,0,0
6049035,4,-1,6049034,0,0,0
6049136,5,-1,6049034,240572,240468,0
6049220,6,-1,6049034,1,0,0
6049331,7,-1,6049034,240572,240468,0
6049429,8,-1,6049034,0,0,0
6049497,2,0,6049,0,0,0
6049559,9,-1,6049034,0,1,0
6049627,12,-1,6049034,0,0,0
6149035,4,-1,6149034,0,0,0
6149136,5,-1,6149034,240572,240468,0
6149228,6,-1,6149034,1,0,0
6149335,7,-1,6149034,240580,240468,0
6149436,8,-1,6149034,0,0,0
6149503,9,-1,6149034,1,0,0
6149588,11,-1,6149034,1,1,0
6149655,12,-1,6149034,0,0,0
6149739,13,-1,6149034,1,0,0
6149819,16,0,6149034,6749034,7749034,1599216
6149921,17,0,6149034,0,0,0
6149994,20,0,6149034,240528,240468,0
6249035,4,-1,6249034,0,0,0
6249136,5,-1,6249034,240528,240468,0
6249220,6,-1,6249034,1,0,0
6249329,7,-1,6249034,240528,240468,0
6249429,8,-1,6249034,0,0,0
6249497,2,0,6249,0,0,0
6249559,9,-1,6249034,0,1,0
6249627,12,-1,6249034,0,0,0
6349035,4,-1,6349034,0,0,0
6349136,5,-1,6349034,240528,240468,0
6349220,6,-1,6349034,1,0,0
6349328,7,-1,6349034,240528,240468,0
6349428,8,-1,6349034,0,0,0
6349496,2,0,6349,0,0,0
6349558,9,-1,6349034,0,1,0
6349626,12,-1,6349034,0,0,0
6449035,4,-1,6449034,0,0,0
6449136,5,-1,6449034,240528,240468,0
6449220,6,-1,6449034,1,0,0
6449328,7,-1,6449034,240528,240468,0
6449429,8,-1,6449034,0,0,0
6449496,2,0,6449,0,0,0
6449559,9,-1,6449034,0,1,0
6449626,12,-1,6449034,0,0,0
6549035,4,-1,6549034,0,0,0
6549136,5,-1,6549034,240528,240468,0
6549220,6,-1,6549034,1,0,0
6549328,7,-1,6549034,240536,240468,0
6549429,8,-1,6549034,0,0,0
6549497,2,0,6549,0,0,0
6549559,9,-1,6549034,0,1,0
6549627,12,-1,6549034,0,0,0
6649035,4,-1,6649034,0,0,0
6649136,5,-1,6649034,240536,240468,0
6649220,6,-1,6649034,1,0,0
6649326,7,-1,6649034,240528,240468,0
6649427,8,-1,6649034,0,0,0
6649495,2,0,6649,0,0,0
6649557,9,-1,6649034,0,1,0
6649625,12,-1,6649034,0,0,0
6749035,4,-1,6749034,0,0,0
6749147,5,-1,6749034,240528,240468,0
6749231,6,-1,6749034,1,0,0
6749338,7,-1,6749034,240528,240468,0
6749440,8,-1,6749034,0,0,0
674958349035,4,-1,8349034,0,0,0
8349136,5,-1,8349034,240528,240468,0
8349216,6,-1,8349034,1,0,0
8349320,7,-1,8349034,240528,240468,0
8349417,8,-1,8349034,0,0,0
8349484,2,0,8349,0,0,0
8349547,9,-1,8349034,0,1,0
8349615,12,-1,8349034,0,0,0
8449035,4,-1,8449034,0,0,0
8449136,5,-1,8449034,240528,240468,0
8449216,6,-1,8449034,1,0,0
8449320,7,-1,8449034,240528,240468,0
8449417,8,-1,8449034,0,0,0
8449484,2,0,8449,0,0,0
8449547,9,-1,8449034,0,1,0
8449614,12,-1,8449034,0,0,0
8549035,4,-1,8549034,0,0,0
8549136,5,-1,8549034,240528,240468,0
8549228,6,-1,8549034,1,0,0
8549340,7,-1,8549034,240528,240468,0
8549437,8,-1,8549034,0,0,0
8549505,2,0,8549,0,0,0
8549567,9,-1,8549034,0,1,0
8549635,12,-1,8549034,0,0,0
8649035,4,-1,8649034,0,0,0
8649136,5,-1,8649034,240528,240468,0
8649220,6,-1,8649034,1,0,0
8649330,7,-1,8649034,240528,240468,0
8649427,8,-1,8649034,0,0,0
8649495,2,0,8649,0,0,0
8649557,9,-1,8649034,0,1,0
8649625,12,-1,8649034,0,0,0
8749035,4,-1,8749034,0,0,0
8749147,5,-1,8749034,240528,240468,0
8749231,6,-1,8749034,1,0,0
8749342,7,-1,8749034,240528,240468,0
8749439,8,-1,8749034,0,0,0
8749506,2,0,8749,0,0,0
8749569,9,-1,8749034,0,1,0
8749636,12,-1,8749034,0,0,0
8749754,15,0,8149034,0,0,0
8749904,18,0,8149034,0,0,0
8753531,19,0,8149034,0,0,0
8754099,24,0,8149034,0,0,0
8754171,1,0,8149034,84696351,0,0
8754252,21,0,8149034,240528,240468,0
8754338,25,0,8149034,240528,240468,0
8754419,14,-1,8149034,0,0,0
8849035,4,-1,8849034,0,0,0
8849136,5,-1,8849034,240580,240468,0
8849232,6,-1,8849034,1,0,0
8849347,7,-1,8849034,240572,240468,0
8849451,8,-1,8849034,0,0,0
8849519,2,0,8849,0,0,0
8849581,9,-1,8849034,0,1,0
8849649,12,-1,8849034,0,0,0
8949035,4,-1,8949034,0,0,0
8949136,5,-1,8949034,240572,240468,0
8949220,6,-1,8949034,1,0,0
8949332,7,-1,8949034,240572,240468,0
